species,longitude,latitude
rattus_rattus,-38.33333,-12.9
peromyscus_maniculatus,-98.29564,19.26563
sciurus_aureogaster,-98.62194,19.02278
balantiopteryx_plicata,-99.23427,18.74371
desmodus_rotundus,-99.23427,18.74371
peromyscus_boylii,-97.2095,19.65228
peromyscus_difficilis,-97.43395,19.04397
reithrodontomys_fulvescens,-96.88422,19.49923
molossus_molossus,-75.2225,3.2228
