species,longitude,latitude
Necromys amoenus,-69.66667,-16.43034
Akodon albiventer,-69.73333,-16.99578
Akodon albiventer,-69.88339,-16.75
Akodon boliviensis,-70.75,-15.86667
Calomys sorellus,-69.93333,-15.03333
Akodon boliviensis,-69.66667,-16.43034
Microryzomys minutus,-69.68889,-14.08996
Phyllotis xanthopygus,-69.64352,-14.25466
Abrothrix andinus,-69.80966,-17.25199
Thomasomys aureus,-69.68889,-14.08996
Akodon albiventer,-69.66667,-16.43034
Akodon boliviensis,-69.93333,-15.03333
Abrothrix jelskii,-69.66667,-16.43034
Thomasomys daphne,-69.68889,-14.08996
Phyllotis osilae,-69.93333,-15.03333
Akodon boliviensis,-69.88339,-16.75
Abrothrix jelskii,-69.73426,-14.25466
Phyllotis osilae,-69.66667,-16.43034
Abrothrix jelskii,-69.88339,-16.75
Auliscomys pictus,-69.66667,-16.43034
Abrothrix jelskii,-69.73333,-16.99578
Phyllotis xanthopygus,-69.88339,-16.75
Chinchillula sahamae,-69.73426,-14.25466
Phyllotis xanthopygus,-69.80966,-17.25199
Auliscomys sublimis,-69.73426,-14.25466
Phyllotis xanthopygus,-69.66667,-16.43034
Chinchillula sahamae,-69.80966,-17.25199
Auliscomys boliviensis,-70.1835,-16.75
Auliscomys pictus,-69.73426,-14.25466
Galea musteloides,-69.66667,-16.58939
Phyllotis xanthopygus,-73.59945,-16.22487
Neotomys ebriosus,-69.73426,-14.25466
Auliscomys sublimis,-69.73333,-16.99578
Neotomys ebriosus,-69.66667,-16.43034
Conepatus chinga,-69.66667,-16.43034
Peropteryx macrotis,-75.41667,9.3
Ctenomys peruanus,-69.66667,-16.58939
Lagidium peruanum,-71.10338,-16.36667
Leopardus colocolo,-69.66667,-16.43034
Punomys kofordi,-69.73426,-14.25466
Conepatus chinga,-69.93333,-15.03333
Mustela frenata,-69.93333,-15.03333
Peropteryx macrotis,-75.43333,9.46667
Ctenomys opimus,-69.80966,-17.25199
Lagidium peruanum,-69.80966,-17.25199
Uroderma bilobatum,-75.33333,9.08333
Galictis vittata,-69.66667,-16.43034
Uroderma bilobatum,-75.25,8.25
Saccopteryx bilineata,-74.56667,8.13667
Glossophaga soricina,-74.56667,8.13667
Eumops glaucinus,-75.33333,9.08333
Conepatus chinga,-69.707,-16.88133
Saimiri sciureus,-73.61667,4.15
Microryzomys minutus,-71.66667,-13.20961
Lestoros inca,-71.66667,-13.20961
Thomasomys gracilis,-71.76667,-13.1
Thylamys pallidior,-70.03278,-17.4383
Akodon subfuscus,-71.66667,-13.20961
Akodon subfuscus,-72.88131,-13.66684
Microryzomys minutus,-71.76667,-13.1
Thomasomys aureus,-71.66667,-13.20961
Calomys sorellus,-72.88131,-13.66684
Akodon boliviensis,-70.58889,-14.66017
Akodon subfuscus,-73.25,-14.50025
Oligoryzomys destructor,-72.88131,-13.66684
Akodon subfuscus,-73.25,-14.64486
Abrothrix andinus,-69.80751,-17.21306
Abrothrix andinus,-71.13333,-16.36667
Akodon subfuscus,-74.25151,-14.58497
Akodon boliviensis,-69.4226,-16.2027
Akodon boliviensis,-70.17336,-15.83333
Akodon lutescens,-70.08001,-15.83333
Akodon subfuscus,-74.03485,-14.60414
Abrothrix andinus,-70.33639,-16.93333
Akodon boliviensis,-70.79881,-15.83333
Akodon albiventer,-70.03278,-17.45637
Akodon boliviensis,-69.73333,-16.75
Akodon boliviensis,-70.76147,-15.83333
Abrothrix andinus,-69.82081,-17.24546
Akodon boliviensis,-70.37132,-15.76667
Necromys amoenus,-70.79881,-15.83333
Abrothrix andinus,-70.36667,-17.01667
Abrothrix andinus,-69.89963,-17.34666
Akodon albiventer,-70.98433,-16.4445
Abrothrix andinus,-69.93292,-17.37861
Abrothrix jelskii,-70.23333,-16.88333
Abrothrix andinus,-69.83978,-17.22916
Akodon albiventer,-69.80836,-16.75
Akodon albiventer,-69.83978,-17.22916
Akodon albiventer,-70.03278,-17.4383
Akodon albiventer,-70.03278,-17.43378
Abrothrix jelskii,-70.79881,-15.83333
Akodon albiventer,-69.73333,-16.75
Necromys amoenus,-70.17336,-15.83333
Abrothrix jelskii,-69.4226,-16.2027
Akodon albiventer,-70.03278,-17.44729
Abrothrix jelskii,-70.38333,-16.93333
Akodon torques,-71.76667,-13.1
Abrothrix jelskii,-69.66667,-16.58035
Abrothrix jelskii,-70.76147,-15.83333
Abrothrix jelskii,-73.51213,-14.53897
Akodon albiventer,-70.81631,-16.08333
Abrothrix jelskii,-73.83309,-14.57895
Abrothrix jelskii,-69.32646,-16.24111
Abrothrix jelskii,-70.83333,-16.03333
Abrothrix jelskii,-74.03485,-14.60414
Calomys lepidus,-70.33333,-16.93333
Eligmodontia puerulus,-70.81631,-16.08333
Akodon torques,-71.66667,-13.20961
Necromys amoenus,-70.37132,-15.76667
Calomys lepidus,-71.13333,-16.36667
Calomys lepidus,-70.81631,-16.08333
Phyllotis xanthopygus,-71.48437,-16.7
Calomys lepidus,-70.79881,-15.83333
Calomys lepidus,-70.75317,-14.72635
Calomys lepidus,-69.4226,-16.2027
Abrothrix jelskii,-69.66667,-17.19485
Calomys lepidus,-69.73333,-16.75
Calomys lepidus,-70.17336,-15.83333
Abrothrix jelskii,-70.03345,-16.75
Eligmodontia puerulus,-69.83978,-17.22916
Eligmodontia puerulus,-70.33639,-16.93333
Eligmodontia puerulus,-69.80836,-16.75
Eligmodontia puerulus,-69.73333,-16.75
Phyllotis xanthopygus,-71.55718,-16.7167
Phyllotis magister,-70.98433,-16.4445
Eligmodontia puerulus,-69.80751,-17.24017
Calomys lepidus,-70.75,-15.86667
Eligmodontia puerulus,-69.66667,-17.19485
Phyllotis xanthopygus,-70.83333,-16.03333
Phyllotis amicus,-76.4,-12.93871
Phyllotis xanthopygus,-70.98433,-16.4445
Phyllotis xanthopygus,-74.03485,-14.60414
Phyllotis xanthopygus,-70.81631,-16.08333
Phyllotis xanthopygus,-70.36667,-17.01667
Phyllotis xanthopygus,-69.4226,-16.2027
Phyllotis xanthopygus,-69.66667,-16.21888
Phyllotis xanthopygus,-70.78357,-17.00277
Phyllotis xanthopygus,-70.17336,-15.83333
Phyllotis xanthopygus,-70.38333,-16.93333
Phyllotis xanthopygus,-70.23333,-16.88333
Phyllotis xanthopygus,-70.03278,-17.42927
Phyllotis xanthopygus,-70.03278,-17.4383
Phyllotis xanthopygus,-70.79881,-15.83333
Phyllotis xanthopygus,-70.03345,-16.75
Phyllotis xanthopygus,-70.07313,-16.67763
Phyllotis xanthopygus,-70.03278,-17.43378
Phyllotis xanthopygus,-70.08001,-15.83333
Phyllotis xanthopygus,-73.83309,-14.57895
Phyllotis magister,-70.03278,-17.4383
Phyllotis xanthopygus,-70.03278,-17.45637
Phyllotis xanthopygus,-69.8664,-17.25472
Phyllotis osilae,-69.4226,-16.2027
Phyllotis xanthopygus,-70.03278,-17.44729
Phyllotis xanthopygus,-70.33639,-16.93333
Phyllotis xanthopygus,-69.32646,-16.24111
Phyllotis osilae,-69.32646,-16.24111
Phyllotis xanthopygus,-69.89963,-17.34666
Phyllotis osilae,-70.17336,-15.83333
Phyllotis xanthopygus,-69.79421,-17.24546
Auliscomys boliviensis,-70.83333,-16.03333
Phyllotis magister,-70.03278,-17.45637
Phyllotis magister,-70.03278,-17.46096
Phyllotis osilae,-70.37132,-15.76667
Auliscomys sublimis,-69.65,-17.2
Auliscomys sublimis,-70.00033,-15.80138
Phyllotis magister,-70.03278,-17.44729
Auliscomys sublimis,-70.79881,-15.83333
Auliscomys sublimis,-73.83309,-14.57895
Auliscomys boliviensis,-69.66667,-17.19485
Galenomys garleppi,-70.81631,-16.08333
Auliscomys boliviensis,-70.38333,-16.93333
Auliscomys sublimis,-70.03345,-16.75
Auliscomys sublimis,-74.03485,-14.60414
Phyllotis osilae,-70.08001,-15.83333
Auliscomys pictus,-73.51213,-14.53897
Auliscomys boliviensis,-70.34578,-16.93333
Auliscomys boliviensis,-70.81631,-16.08333
Galenomys garleppi,-69.38333,-16.58333
Auliscomys pictus,-70.79881,-15.83333
Auliscomys sublimis,-70.75,-15.86667
Auliscomys boliviensis,-70.33333,-16.93333
Auliscomys sublimis,-70.81631,-16.08333
Auliscomys sublimis,-69.80836,-16.75
Auliscomys sublimis,-70.76147,-15.83333
Auliscomys sublimis,-73.51213,-14.53897
Chinchillula sahamae,-70.33639,-16.93333
Auliscomys pictus,-70.17336,-15.83333
Auliscomys sublimis,-69.83978,-17.22916
Auliscomys pictus,-69.73333,-16.75
Auliscomys sublimis,-69.66667,-17.19485
Calomys sorellus,-74.25151,-14.58497
Galea musteloides,-69.32646,-16.24111
Auliscomys sublimis,-70.08001,-15.83333
Neotomys ebriosus,-70.79881,-15.83333
Ctenomys opimus,-70.33639,-16.93333
Ctenomys leucodon,-69.39961,-16.69723
Galea musteloides,-69.4226,-16.2027
Lagidium peruanum,-70.98433,-16.4445
Chinchillula sahamae,-70.79881,-15.83333
Ctenomys opimus,-69.66667,-17.16774
Ctenomys opimus,-70.38333,-16.93333
Auliscomys pictus,-70.37132,-15.76667
Ctenomys opimus,-69.85338,-16.75
Ctenomys opimus,-69.80751,-17.24017
Ctenomys opimus,-69.66667,-17.19485
Ctenomys opimus,-69.83978,-17.22916
Neotomys ebriosus,-70.37132,-15.76667
Lagidium peruanum,-70.1954,-16.59453
Ctenomys peruanus,-69.66667,-16.62554
Ctenomys opimus,-69.53261,-17.0764
Punomys lemminus,-69.89963,-17.34666
Auliscomys pictus,-70.76147,-15.83333
Ctenomys opimus,-70.1954,-16.59453
Ctenomys peruanus,-69.38333,-16.58333
Mus musculus,-74.95,-14.78814
Myotis oxyotus,-71.59167,-13.22828
Abrothrix andinus,-70.83333,-16.03333
Auliscomys sublimis,-73.8451,-14.58379
Abrocoma cinerea,-69.80751,-17.24017
Auliscomys sublimis,-70.83333,-16.03333
Akodon subfuscus,-74.03879,-14.60797
Calomys lepidus,-70.83333,-16.03333
Chinchillula sahamae,-73.8451,-14.58379
Felis silvestris,-69.32646,-16.24111
Auliscomys pictus,-74.03879,-14.60797
Didelphis albiventris,-69.68889,-14.00317
Abrothrix jelskii,-73.40728,-14.43672
Thomasomys daphne,-69.68889,-14.10442
Punomys lemminus,-70.83333,-16.03333
Calomys sorellus,-74.24889,-14.58752
Tadarida brasiliensis,-69.43333,-14.28333
Oligoryzomys destructor,-69.43333,-14.28333
Lestoros inca,-69.68889,-14.10442
Myotis oxyotus,-69.68889,-14.00317
Auliscomys sublimis,-74.03879,-14.60797
Myotis keaysi,-69.68889,-14.00317
Lestoros inca,-69.68889,-14.08996
Akodon boliviensis,-70.37806,-15.02328
Chinchillula sahamae,-73.51213,-14.53897
Phyllotis xanthopygus,-73.8451,-14.58379
Nephelomys keaysi,-69.68889,-14.00317
Akodon subfuscus,-69.71158,-14.20124
Abrothrix jelskii,-69.68889,-14.16224
Microryzomys minutus,-69.68889,-14.10442
Akodon subfuscus,-69.68889,-14.16224
Abrothrix jelskii,-69.71725,-14.21458
Akodon lutescens,-70.35,-14.85606
Akodon subfuscus,-71.13333,-16.36667
Akodon aerosus,-69.68889,-14.00317
Lenoxus apicalis,-69.68889,-14.00317
Abrothrix jelskii,-71.05495,-15.91951
Akodon boliviensis,-70.19283,-14.32108
Abrothrix jelskii,-69.71158,-14.20124
Oligoryzomys destructor,-69.68889,-14.10442
Akodon subfuscus,-69.71725,-14.21458
Abrothrix jelskii,-70.5558,-15.86667
Abrothrix jelskii,-70.19283,-14.32108
Phyllotis xanthopygus,-69.9,-16.32059
Abrothrix jelskii,-71.13333,-16.36667
Calomys lepidus,-70.37806,-15.02328
