species,longitude,latitude
Thylamys elegans,-71.23703,-32.27747
Oligoryzomys longicaudatus,-71.23703,-32.27747
Abrothrix olivaceus,-71.23703,-32.27747
Abrocoma bennetti,-70.48868,-33.40897
Oligoryzomys longicaudatus,-74.062,-42.65039
Abrothrix longipilis,-72.53889,-39.47133
Phyllotis darwini,-70.48868,-33.40897
Oligoryzomys longicaudatus,-74.11222,-42.66214
Phyllotis darwini,-70.97142,-33.19725
Abrocoma bennetti,-70.48355,-33.40362
Abrothrix olivaceus,-70.97142,-33.19725
Oligoryzomys longicaudatus,-70.96947,-33.19614
Abrothrix olivaceus,-74.062,-42.65039
Irenomys tarsalis,-72.51808,-39.48875
Abrothrix sanborni,-74.11222,-42.66214
Oligoryzomys longicaudatus,-70.48868,-33.40897
Oligoryzomys longicaudatus,-72.52653,-39.49208
Oligoryzomys longicaudatus,-72.50611,-39.4935
Abrothrix longipilis,-73.68119,-41.86847
Rattus norvegicus,-70.97142,-33.19725
Mus musculus,-70.26242,-27.56603
Myotis nigricans,-83.51263,8.70143
Carollia castanea,-83.51263,8.70143
Pteronotus parnellii,-83.51263,8.70143
Artibeus jamaicensis,-83.51263,8.70143
Tonatia saurophila,-83.51263,8.70143
Carollia brevicauda,-83.51263,8.70143
Carollia perspicillata,-83.51263,8.70143
Uroderma bilobatum,-83.51263,8.70143
Desmodus rotundus,-63.917,-21.43706
Graomys griseoflavus,-62.83333,-20.45
Graomys domorum,-64.13333,-18.46667
Euryoryzomys nitidus,-62.41667,-16.58333
Phyllotis xanthopygus,-64.91667,-21.48333
Artibeus planirostris,-62.41667,-16.58333
Carollia perspicillata,-62.41667,-16.58333
Graomys domorum,-63.73333,-21.43333
Graomys domorum,-64.8,-21.46667
Glossophaga soricina,-62.41667,-16.58333
Phyllotis osilae,-64.81667,-21.45
Phyllotis osilae,-64.86667,-21.45
Necromys lenguarum,-62.41667,-16.58333
Artibeus obscurus,-62.41667,-16.58333
Phyllotis xanthopygus,-64.86667,-21.45
Phyllotis xanthopygus,-64.81667,-21.45
Sturnira lilium,-62.41667,-16.58333
Pygoderma bilabiatum,-62.41667,-16.58333
Calomys callosus,-63.23944,-17.43306
Cavia tschudii,-64.63333,-17.85
Artibeus lituratus,-60.725,-14.64167
Nephelomys keaysi,-64.81667,-17.81667
Oligoryzomys destructor,-64.21667,-18.33333
Nephelomys keaysi,-64.68333,-17.81667
Rhipidomys couesi,-64.21667,-18.33333
Akodon mimus,-65.03333,-17.75
Oxymycterus paramensis,-65.03333,-17.75
Artibeus obscurus,-60.725,-14.64167
Glossophaga soricina,-63.16667,-17.78333
Histiotus velatus,-64.13333,-18.46667
Tadarida brasiliensis,-64.13333,-18.46667
Artibeus planirostris,-60.725,-14.64167
Sturnira lilium,-63.73333,-18.18333
Thylamys venustus,-64.31667,-18.03333
Thylamys venustus,-63.31667,-18.05
Carollia perspicillata,-63.73333,-18.18333
Anoura geoffroyi,-63.73333,-18.18333
Oligoryzomys destructor,-64.33333,-18.08333
Sturnira oporaphilum,-63.73333,-18.18333
Euryoryzomys nitidus,-63.73333,-18.18333
Sturnira erythromos,-63.73333,-18.18333
Sturnira erythromos,-65.03333,-17.75
Akodon boliviensis,-65.03333,-17.75
Oligoryzomys destructor,-65.03333,-17.75
Phyllotis xanthopygus,-65.03333,-17.75
Graomys domorum,-64.33333,-18.08333
Thylamys venustus,-65.03333,-17.75
Akodon varius,-64.31667,-18.08333
Sturnira tildae,-63.73333,-18.18333
Microryzomys minutus,-64.68333,-17.81667
Akodon puer,-65.03333,-17.75
Lasiurus blossevillii,-65.03333,-17.75
Akodon mimus,-64.68333,-17.81667
Galea musteloides,-64.3,-18.2
Sturnira erythromos,-64.21667,-18.33333
Thylamys venustus,-64.21667,-18.33333
Mus musculus,-64.13333,-18.46667
Mesophylla macconnelli,-60.87833,-14.5675
Chiroderma trinitatum,-60.87833,-14.5675
Calomys callosus,-63.85,-19.71667
Artibeus lituratus,-60.87833,-14.5675
Carollia perspicillata,-60.87833,-14.5675
Carollia brevicauda,-60.87833,-14.5675
Platyrrhinus helleri,-60.87833,-14.5675
Cavia aperea,-60.87833,-14.57639
Cavia aperea,-60.86083,-14.59
Glossophaga soricina,-60.89167,-14.5675
Glossophaga soricina,-60.87833,-14.5675
Cavia aperea,-60.89167,-14.5675
Platyrrhinus helleri,-60.75,-14.62917
Priodontes maximus,-61.45,-15.83333
Artibeus obscurus,-60.87833,-14.5675
Glossophaga soricina,-60.75,-14.62917
Carollia perspicillata,-60.75,-14.62917
Artibeus lituratus,-60.75,-14.62917
Chiroderma trinitatum,-60.75,-14.62917
Artibeus lituratus,-60.7375,-14.55833
Chiroderma villosum,-60.7375,-14.55833
Sturnira lilium,-60.75,-14.62917
Artibeus planirostris,-60.75,-14.62917
Platyrrhinus lineatus,-63.16667,-17.78333
Sturnira tildae,-60.75,-14.62917
Micronycteris schmidtorum,-60.725,-14.64167
Artibeus planirostris,-63.16667,-17.78333
Chiroderma villosum,-60.75,-14.62917
Akodon boliviensis,-65.58333,-17.66667
Cerradomys subflavus,-63.73333,-18.18333
Microryzomys minutus,-63.73333,-18.18333
Myotis nigricans,-63.73333,-18.18333
Oxymycterus paramensis,-65.58333,-17.66667
Oligoryzomys longicaudatus,-65.58333,-17.66667
Neacomys spinosus,-63.73333,-18.18333
Myotis albescens,-63.73333,-18.18333
Phyllotis xanthopygus,-65.58333,-17.66667
Artibeus lituratus,-60.89167,-14.5675
Akodon lutescens,-65.58333,-17.66667
Uroderma bilobatum,-60.725,-14.64167
Akodon puer,-65.58333,-17.66667
Calomys callosus,-63.78333,-21.8
Necromys lenguarum,-63.78333,-21.8
Ctenomys boliviensis,-63.11667,-17.88333
Myotis nigricans,-62.56667,-21.63333
Thylamys pusillus,-62.56667,-21.63333
Monodelphis domestica,-62.56667,-21.63333
Mazama americana,-63.78333,-21.8
Thylamys venustus,-62.56667,-21.63333
Calomys laucha,-62.56667,-21.63333
Myotis albescens,-62.56667,-21.63333
Molossus molossus,-62.56667,-21.63333
Sturnira lilium,-67.73333,-16.15
Glossophaga soricina,-67.73333,-16.15
Carollia brevicauda,-67.73333,-16.15
Artibeus planirostris,-67.73333,-16.15
Phyllostomus hastatus,-67.73333,-16.15
Desmodus rotundus,-67.73333,-16.15
Akodon aerosus,-67.73333,-16.15
Sturnira oporaphilum,-67.73333,-16.15
Didelphis marsupialis,-67.73333,-16.15
Anoura geoffroyi,-67.73333,-16.15
Carollia brevicauda,-67.06667,-15.28333
Hylaeamys megacephalus,-67.11667,-14.86667
Myotis nigricans,-67.11667,-14.86667
Lasiurus ega,-67.11667,-14.86667
Platyrrhinus helleri,-67.11667,-14.86667
Glossophaga soricina,-67.06667,-15.28333
Artibeus lituratus,-67.73333,-16.15
Carollia perspicillata,-67.06667,-15.28333
Carollia castanea,-67.11667,-14.86667
Anoura caudifera,-67.06667,-15.28333
Anoura caudifera,-67.73333,-16.15
Molossus molossus,-67.73333,-16.15
Chiroderma salvini,-67.11667,-14.86667
Tonatia silvicola,-67.06667,-15.28333
Oecomys mamorae,-67.11667,-14.86667
Carollia perspicillata,-67.11667,-14.86667
Nyctinomops macrotis,-67.11667,-14.86667
Dactylomys boliviensis,-67.51667,-15.73333
Carollia castanea,-67.06667,-15.28333
Chironectes minimus,-67.51667,-15.73333
Carollia perspicillata,-67.51667,-15.73333
Hylaeamys megacephalus,-67.51667,-15.73333
Molossus molossus,-67.51667,-15.73333
Didelphis marsupialis,-67.51667,-15.73333
Artibeus obscurus,-67.51667,-15.73333
Euryoryzomys nitidus,-67.51667,-15.73333
Metachirus nudicaudatus,-67.51667,-15.73333
Akodon aerosus,-67.51667,-15.73333
Marmosops noctivagus,-67.51667,-15.73333
Oligoryzomys microtis,-67.51667,-15.73333
Glossophaga soricina,-67.51667,-15.73333
Anoura caudifera,-67.51667,-15.73333
Metachirus nudicaudatus,-67.51639,-15.69417
Rhipidomys austrinus,-67.51667,-15.73333
Oecomys bicolor,-67.51667,-15.73333
Marmosops bishopi,-67.51667,-15.73333
Sciurus aestuans,-67.5,-15.6833
Artibeus planirostris,-67.51667,-15.73333
Metachirus nudicaudatus,-67.5,-15.6833
Neacomys spinosus,-67.51667,-15.73333
Neacomys spinosus,-67.5,-15.6833
Akodon aerosus,-67.88333,-16.31667
Akodon mimus,-67.88333,-16.31667
Oxymycterus paramensis,-67.88333,-16.31667
Akodon fumeus,-67.51667,-15.73333
Akodon boliviensis,-67.88333,-16.31667
Akodon lutescens,-67.88333,-16.31667
Didelphis albiventris,-67.88333,-16.31667
Thomasomys ladewi,-67.88333,-16.31667
Phyllotis xanthopygus,-67.96667,-16.31667
Abrothrix jelskii,-67.96667,-16.31667
Phyllotis osilae,-67.96667,-16.31667
Oligoryzomys flavescens,-67.96667,-16.31667
Akodon boliviensis,-67.96667,-16.31667
Nephelomys keaysi,-67.85,-16.3
Akodon lutescens,-67.85,-16.3
Akodon fumeus,-67.85,-16.3
Akodon aerosus,-67.85,-16.3
Lenoxus apicalis,-67.85,-16.3
Anoura geoffroyi,-68.07944,-16.11861
Akodon mimus,-68.07944,-16.11861
Thomasomys daphne,-68.07944,-16.11861
Carollia brevicauda,-68.07944,-16.11861
Nephelomys levipes,-68.07944,-16.11861
Sturnira erythromos,-68.07944,-16.11861
Sturnira lilium,-68.07944,-16.11861
Nephelomys keaysi,-68.07944,-16.11861
Euryoryzomys nitidus,-68.07944,-16.11861
Euryoryzomys nitidus,-68.09972,-16.1275
Carollia perspicillata,-68.07944,-16.11861
Akodon mimus,-68.09972,-16.1275
Nephelomys keaysi,-68.09972,-16.1275
Didelphis albiventris,-68.09972,-16.1275
Nephelomys levipes,-68.09972,-16.1275
Auliscomys pictus,-68.12667,-16.195
Phyllotis xanthopygus,-68.12667,-16.195
Sturnira oporaphilum,-68.09972,-16.1275
Neotomys ebriosus,-68.12667,-16.195
Thomasomys daphne,-68.09972,-16.1275
Phyllotis osilae,-68.12667,-16.195
Akodon boliviensis,-68.12667,-16.195
Abrothrix jelskii,-68.12667,-16.195
Akodon puer,-65.89167,-17.22472
Phyllotis osilae,-65.89167,-17.22472
Oligoryzomys flavescens,-65.89167,-17.22472
Calomys lepidus,-65.89167,-17.22472
Akodon boliviensis,-65.89167,-17.22472
Akodon fumeus,-65.89167,-17.22472
Lasiurus cinereus,-65.89167,-17.22472
Myotis nigricans,-65.89167,-17.22472
Microryzomys minutus,-65.89167,-17.22472
Sturnira oporaphilum,-65.89167,-17.22472
Akodon mimus,-65.86917,-17.21194
Nephelomys levipes,-65.86917,-17.21194
Oligoryzomys flavescens,-65.86917,-17.21194
Nephelomys keaysi,-65.86917,-17.21194
Akodon fumeus,-65.86917,-17.21194
Microryzomys minutus,-65.86917,-17.21194
Sturnira erythromos,-65.86917,-17.21194
Eptesicus furinalis,-65.86917,-17.21194
Desmodus rotundus,-65.86917,-17.21194
Eptesicus brasiliensis,-65.86917,-17.21194
Mustela frenata,-65.86917,-17.21194
Carollia perspicillata,-68.35,-12.23
Sturnira lilium,-68.35,-12.23
Monodelphis glirina,-67.34,-11.26
Platyrrhinus helleri,-67.34,-11.26
Euryoryzomys nitidus,-67.34,-11.26
Oligoryzomys microtis,-67.34,-11.26
Uroderma magnirostrum,-67.34,-11.26
Chiroderma villosum,-67.34,-11.26
Dasyprocta punctata,-67.34,-11.26
Hylaeamys megacephalus,-67.34,-11.26
Artibeus planirostris,-67.34,-11.26
Chiroderma trinitatum,-67.34,-11.26
Cryptonanus unduaviensis,-67.34,-11.26
Rattus rattus,-67.34,-11.26
Ctenomys opimus,-67.98333,-18.31667
Ctenomys opimus,-68.73333,-18.41667
Ctenomys opimus,-67.7,-22.16667
Ctenomys opimus,-67.73333,-22.3
Oligoryzomys longicaudatus,-64.31667,-21.45
Phyllotis caprinus,-64.31667,-21.45
Ctenomys opimus,-67.98333,-15.31667
Ctenomys frater,-64.31667,-21.45
Ctenomys opimus,-67.75,-22.16667
Ctenomys frater,-64.4,-21.45
Akodon boliviensis,-67.7,-22.16667
Ctenomys frater,-64.2,-21.27
Oxymycterus paramensis,-64.31667,-21.45
Thylamys pallidior,-64.95,-21.48333
Didelphis albiventris,-64.31667,-21.45
Necromys lactens,-64.31667,-21.45
Akodon boliviensis,-64.95,-21.48333
Calomys musculinus,-64.95,-21.48333
Andinomys edax,-64.31667,-21.45
Calomys lepidus,-64.95,-21.48333
Ctenomys lewisi,-64.95,-21.48333
Ctenomys lewisi,-64.57,-21.27
Phyllotis xanthopygus,-64.95,-21.48333
Auliscomys boliviensis,-66.7,-19.8
Ctenomys opimus,-66.11667,-19.13333
Ctenomys leucodon,-68.88333,-16.8
Calomys callosus,-63.96667,-19.81667
Oxymycterus paramensis,-63.96667,-19.81667
Carollia perspicillata,-62.7,-16.66667
Akodon boliviensis,-63.96667,-19.81667
Artibeus planirostris,-63.51667,-19.8
Graomys domorum,-63.51667,-19.8
Glossophaga soricina,-62.7,-16.66667
Oligoryzomys microtis,-63.96667,-19.81667
Thylamys venustus,-63.96667,-19.81667
Calomys callosus,-63.51667,-19.8
Graomys domorum,-64.27,-19.12
Akodon puer,-64.27,-19.12
Necromys lenguarum,-63.96667,-19.81667
Phyllotis xanthopygus,-64.56,-19.1
Oligoryzomys flavescens,-64.27,-19.12
Mus musculus,-63.96667,-19.81667
Mus musculus,-64.27,-19.12
Ctenomys boliviensis,-61.45,-15.85
Ctenomys boliviensis,-61.45,-15.86667
Oligoryzomys microtis,-63.51667,-19.8
Thylamys venustus,-64.27,-19.12
Desmodus rotundus,-64.49,-19.4
Oligoryzomys flavescens,-64.49,-19.4
Graomys domorum,-64.49,-19.4
Calomys musculinus,-64.49,-19.4
Calomys callosus,-64.27,-19.12
Euryoryzomys nitidus,-63.85,-19.71667
Akodon boliviensis,-63.85,-19.71667
Oxymycterus paramensis,-63.85,-19.71667
Sturnira lilium,-63.85,-19.71667
Oligoryzomys microtis,-63.85,-19.71667
Akodon puer,-64.81667,-21.45
Ctenomys frater,-66.11667,-19.13333
Neacomys spinosus,-63.85,-19.71667
Ctenomys boliviensis,-62.96667,-17.76667
Ctenomys boliviensis,-63.05,-17.96667
Ctenomys boliviensis,-63.25,-17.58333
Ctenomys steinbachi,-63.7,-17.46667
Ctenomys boliviensis,-63.13333,-17.91667
Ctenomys steinbachi,-63.66667,-17.5
Ctenomys boliviensis,-63.21667,-17.13333
Ctenomys boliviensis,-63.13333,-17.38333
Ctenomys boliviensis,-63.16667,-17.43333
Ctenomys boliviensis,-63.18333,-17.41667
Ctenomys boliviensis,-63.28333,-17.73333
Ctenomys boliviensis,-61.45,-15.83333
Bolomys lenguarum,-63.96667,-19.81667
Akodon puer,-63.96667,-19.81667
Akodon lanosus,-63.96667,-19.81667
Glossophaga soricina,-64.7825,-17.10528
Phyllostomus hastatus,-64.7825,-17.10528
Carollia perspicillata,-64.7825,-17.10528
Molossus molossus,-64.7825,-17.10528
Myotis nigricans,-64.7825,-17.10528
Artibeus lituratus,-64.7825,-17.10528
Cerdocyon thous,-64.7825,-17.10528
Artibeus planirostris,-64.7825,-17.10528
Sturnira lilium,-64.7825,-17.10528
Uroderma bilobatum,-64.7825,-17.10528
Tonatia silvicola,-64.7825,-17.10528
Carollia brevicauda,-64.7825,-17.10528
Artibeus obscurus,-64.7825,-17.10528
Potos flavus,-64.7825,-17.10528
Bassaricyon alleni,-64.7825,-17.10528
Rhinophylla pumilio,-64.7825,-17.10528
Carollia perspicillata,-65.47583,-17.06417
Artibeus anderseni,-64.7825,-17.10528
Carollia brevicauda,-65.47583,-17.06417
Sturnira oporaphilum,-65.54972,-17.10722
Carollia perspicillata,-65.54972,-17.10722
Carollia brevicauda,-65.54972,-17.10722
Platyrrhinus infuscus,-65.47583,-17.06417
Sturnira lilium,-65.47583,-17.06417
Artibeus anderseni,-65.54972,-17.10722
Akodon aerosus,-65.47583,-17.06417
Platyrrhinus infuscus,-65.54972,-17.10722
Sturnira erythromos,-65.54972,-17.10722
Neacomys spinosus,-65.54972,-17.10722
Sturnira magna,-65.54972,-17.10722
Euryoryzomys nitidus,-66.01333,-17.06667
Sturnira oporaphilum,-65.47583,-17.06417
Akodon aerosus,-66.01333,-17.06667
Monodelphis osgoodi,-66.01333,-17.06667
Nephelomys levipes,-66.01333,-17.06667
Neacomys spinosus,-66.01333,-17.06667
Akodon kofordi,-66.01333,-17.06667
Akodon fumeus,-66.01333,-17.06667
Tadarida brasiliensis,-65.99833,-17.08528
Nephelomys keaysi,-66.01333,-17.06667
Coendou bicolor,-65.99833,-17.08528
Neacomys spinosus,-65.98472,-17.04139
Akodon kofordi,-65.98472,-17.04139
Akodon aerosus,-65.98472,-17.04139
Akodon varius,-66.12472,-17.52556
Micoureus constantiae,-65.98472,-17.04139
Myotis albescens,-65.99833,-17.08528
Graomys domorum,-66.12472,-17.52556
Tadarida brasiliensis,-65.98472,-17.04139
Myotis oxyotus,-66.12472,-17.52556
Akodon puer,-65.60111,-17.68472
Phyllotis xanthopygus,-65.60111,-17.68472
Didelphis albiventris,-66.12472,-17.52556
Akodon lutescens,-65.60111,-17.68472
Andinomys edax,-65.60111,-17.68472
Necromys lactens,-65.60111,-17.68472
Akodon lutescens,-65.95722,-17.22722
Oxymycterus paramensis,-65.60111,-17.68472
Akodon puer,-65.88972,-17.23389
Oxymycterus paramensis,-65.88972,-17.23389
Oxymycterus paramensis,-65.95722,-17.22722
Akodon fumeus,-65.95722,-17.22722
Oligoryzomys flavescens,-65.88972,-17.23389
Phyllotis xanthopygus,-65.95722,-17.22722
Akodon puer,-65.95722,-17.22722
Akodon boliviensis,-65.88972,-17.23389
Oligoryzomys flavescens,-65.95722,-17.22722
Thomasomys daphne,-65.86917,-17.21194
Andinomys edax,-65.95722,-17.22722
Oxymycterus paramensis,-65.86917,-17.21194
Akodon albiventer,-69.03139,-16.98444
Calomys lepidus,-65.95722,-17.22722
Akodon puer,-65.86917,-17.21194
Ctenomys leucodon,-69.05861,-16.99639
Ctenomys leucodon,-69.09583,-17.02083
Akodon lutescens,-65.86917,-17.21194
Euryoryzomys nitidus,-65.86917,-17.21194
Abrocoma cinerea,-69.03139,-16.98444
Galea musteloides,-69.05861,-16.99639
Eptesicus furinalis,-63.917,-21.43706
Sturnira erythromos,-63.917,-21.43706
Rhipidomys austrinus,-63.917,-21.43706
Artibeus planirostris,-63.917,-21.43706
Lasiurus ega,-63.917,-21.43706
Sturnira lilium,-63.917,-21.43706
Euryoryzomys russatus,-63.917,-21.43706
Anoura caudifera,-63.917,-21.43706
Oligoryzomys chacoensis,-63.917,-21.43706
Glossophaga soricina,-63.917,-21.43706
Thylamys venustus,-65.60111,-17.68472
Carollia brevicauda,-67.92153,-14.42675
Artibeus obscurus,-67.92153,-14.42675
Glossophaga soricina,-67.92153,-14.42675
Artibeus glaucus,-67.92153,-14.42675
Artibeus planirostris,-67.92153,-14.42675
Platyrrhinus brachycephalus,-67.92153,-14.42675
Uroderma bilobatum,-67.92153,-14.42675
Rhynchonycteris naso,-67.92153,-14.42675
Trachops cirrhosus,-67.92153,-14.42675
Carollia perspicillata,-67.92153,-14.42675
Artibeus lituratus,-67.92153,-14.42675
Rhinophylla pumilio,-67.92153,-14.42675
Noctilio leporinus,-67.92153,-14.42675
Chiroderma villosum,-67.92842,-14.44486
Molossus ater,-67.92153,-14.42675
Sturnira tildae,-67.92847,-14.44486
Artibeus anderseni,-67.92153,-14.42675
Platyrrhinus helleri,-67.92847,-14.44486
Vampyressa bidens,-67.92847,-14.44486
Carollia perspicillata,-67.92847,-14.44486
Cynomops planirostris,-67.92842,-14.44486
Artibeus obscurus,-67.92847,-14.44486
Artibeus glaucus,-67.92847,-14.44486
Chiroderma villosum,-67.92847,-14.44486
Mesophylla macconnelli,-67.92847,-14.44486
Glossophaga soricina,-67.92847,-14.44486
Euryoryzomys nitidus,-67.51111,-15.73583
Artibeus planirostris,-68.09906,-14.30931
Artibeus lituratus,-67.92847,-14.44486
Artibeus lituratus,-68.09906,-14.30931
Uroderma bilobatum,-67.92847,-14.44486
Artibeus anderseni,-67.92847,-14.44486
Artibeus obscurus,-68.09906,-14.30931
Platyrrhinus helleri,-67.92153,-14.42675
Glossophaga soricina,-67.51278,-15.73583
Oligoryzomys microtis,-67.51111,-15.73583
Carollia perspicillata,-68.09906,-14.30931
Mesophylla macconnelli,-67.92153,-14.42675
Neacomys spinosus,-67.49389,-15.69556
Artibeus jamaicensis,-68.09906,-14.30931
Nephelomys levipes,-67.49389,-15.69472
Platyrrhinus helleri,-68.09906,-14.30931
Akodon aerosus,-67.51111,-15.73583
Akodon varius,-64.13333,-18.46667
Artibeus lituratus,-63.11667,-17.88333
Molossus molossus,-63.11667,-17.88333
Oligoryzomys microtis,-64.13333,-18.46667
Akodon dayi,-63.11667,-17.88333
Cerradomys subflavus,-63.11667,-17.88333
Philander opossum,-63.11667,-17.88333
Akodon dayi,-63.05,-17.96667
Uroderma bilobatum,-63.11667,-17.88333
Calomys callosus,-63.11667,-17.88333
Ctenomys boliviensis,-63.23333,-17.38333
Calomys callosus,-63.23333,-17.38333
Calomys callosus,-63.05,-17.96667
Philander opossum,-63.23333,-17.38333
Akodon dayi,-63.23333,-17.38333
Sturnira lilium,-63.23333,-17.38333
Glossophaga soricina,-63.23333,-17.38333
Uroderma bilobatum,-63.23333,-17.38333
Oligoryzomys microtis,-63.23333,-17.38333
Calomys callosus,-62.83333,-20.45
Calomys callosus,-63.18333,-18.26667
Monodelphis domestica,-63.6,-19.51667
Monodelphis domestica,-62.83333,-20.45
Calomys callosus,-63.6,-19.51667
Carollia perspicillata,-63.23333,-17.38333
Micoureus constantiae,-63.6,-19.51667
Marmosops ocellatus,-63.18333,-18.26667
Akodon simulator,-63.38333,-21.08333
Graomys griseoflavus,-63.03333,-20.43333
Rattus rattus,-63.18333,-18.26667
Graomys griseoflavus,-63.18333,-18.26667
Monodelphis domestica,-63.38333,-21.08333
Calomys callosus,-63.03333,-20.43333
Calomys callosus,-63.38333,-21.08333
Oligoryzomys chacoensis,-63.38333,-21.08333
Akodon varius,-63.91667,-21.43333
Oxymycterus paramensis,-63.91667,-21.43333
Oligoryzomys flavescens,-63.91667,-21.43333
Sturnira lilium,-63.38333,-21.08333
Nyctinomops macrotis,-63.38333,-21.08333
Noctilio leporinus,-63.38333,-21.08333
Akodon simulator,-63.91667,-21.43333
Didelphis albiventris,-63.91667,-21.43333
Graomys domorum,-63.6,-19.51667
Tapecomys primus,-63.91667,-21.43333
Rhipidomys austrinus,-63.91667,-21.43333
Ctenomys conoveri,-63.03333,-20.43333
Calomys callosus,-63.91667,-21.43333
Akodon boliviensis,-63.91667,-21.43333
Artibeus planirostris,-63.91667,-21.43333
Calomys musculinus,-63.91667,-21.43333
Akodon puer,-63.91667,-21.43333
Thylamys venustus,-63.91667,-21.43333
Akodon simulator,-64.8,-21.46667
Akodon puer,-64.8,-21.46667
Rhipidomys couesi,-63.91667,-21.43333
Rattus rattus,-64.8,-21.46667
Akodon lutescens,-64.8,-21.46667
Mus musculus,-64.8,-21.46667
Galea musteloides,-64.8,-21.46667
Akodon puer,-64.86667,-21.45
Phyllotis caprinus,-64.86667,-21.45
Ctenomys lewisi,-64.91667,-21.48333
Akodon puer,-64.95,-21.48333
Oxymycterus paramensis,-64.91667,-21.48333
Akodon puer,-64.91667,-21.48333
Akodon lutescens,-64.91667,-21.48333
Oligoryzomys flavescens,-64.91667,-21.48333
Akodon lutescens,-64.81667,-21.45
Akodon albiventer,-64.91667,-21.48333
Calomys musculinus,-64.91667,-21.48333
Calomys callosus,-64.81667,-21.45
Oligoryzomys flavescens,-64.81667,-21.45
Calomys musculinus,-64.81667,-21.45
Calomys fecundus,-64.91667,-21.48333
Akodon simulator,-64.81667,-21.45
Akodon boliviensis,-64.91667,-21.48333
Calomys callosus,-64.91667,-21.48333
Graomys domorum,-64.66667,-21.78333
Calomys callosus,-64.66667,-21.78333
Akodon varius,-64.66667,-21.78333
Thylamys sponsorius,-64.66667,-21.78333
Akodon simulator,-64.2,-21.46667
Oligoryzomys destructor,-64.2,-21.46667
Euryoryzomys nitidus,-64.2,-21.46667
Akodon varius,-64.65924,-21.78369
Akodon lutescens,-64.2,-21.46667
Thylamys sponsorius,-64.2,-21.46667
Oligoryzomys microtis,-64.2,-21.46667
Oligoryzomys flavescens,-64.2,-21.46667
Calomys lepidus,-65.33333,-19.65
Phyllotis xanthopygus,-65.33333,-19.65
Auliscomys sublimis,-69.26667,-15.05
Oxymycterus paramensis,-64.2,-21.46667
Rattus rattus,-64.2,-21.46667
Euryoryzomys legatus,-63.78333,-21.8
Calomys lepidus,-69.26667,-15.05
Marmosa robinsoni,-80.61408,7.23588
Akodon puer,-64.2,-21.46667
Molossus molossus,-67.51583,-16.37528
Akodon aerosus,-67.50306,-16.36083
Molossus molossus,-67.50306,-16.3775
Euryoryzomys nitidus,-63.38333,-21.0
Didelphis marsupialis,-67.51583,-16.37528
Monodelphis kunsi,-63.91667,-21.43333
Mus musculus,-80.6,7.45
Sturnira oporaphilum,-67.51472,-16.37528
Akodon aerosus,-67.51583,-16.37528
Oligoryzomys fulvescens,-79.66462,9.19176
Oligoryzomys fulvescens,-79.65542,9.18654
Proechimys semispinosus,-79.65599,9.18216
Rattus rattus,-79.66462,9.19176
Rattus rattus,-79.68766,9.18655
Rattus rattus,-79.65599,9.18216
Proechimys semispinosus,-80.61,7.44
Centurio senex,-94.86194,18.24347
Mus musculus,-80.98163,8.09921
Scotinomys teguina,-82.61575,8.89357
Nephelomys devius,-82.61575,8.89357
Reithrodontomys creper,-82.61575,8.89357
Scotinomys teguina,-82.6151,8.89432
Reithrodontomys mexicanus,-82.61575,8.89357
Peromyscus levipes,-82.61575,8.89357
Reithrodontomys creper,-82.6151,8.89432
Reithrodontomys mexicanus,-82.6151,8.89432
Anoura geoffroyi,-82.61575,8.89357
Heteromys desmarestianus,-82.61575,8.89357
Nephelomys devius,-82.6151,8.89432
Reithrodontomys creper,-82.61277,8.89183
Reithrodontomys creper,-82.6138,8.89283
Heteromys desmarestianus,-82.61277,8.89183
Scotinomys teguina,-82.6138,8.89283
Reithrodontomys mexicanus,-82.61277,8.89183
Nephelomys devius,-82.61277,8.89183
Scotinomys teguina,-82.61277,8.89183
Nephelomys devius,-82.6138,8.89283
Cryptotis gracilis,-82.61513,8.89392
Reithrodontomys mexicanus,-82.61513,8.89392
Reithrodontomys creper,-82.6169,8.89498
Reithrodontomys mexicanus,-82.6169,8.89498
Heteromys desmarestianus,-82.6169,8.89498
Desmodus rotundus,-82.6169,8.89498
Scotinomys teguina,-82.6169,8.89498
Hylonycteris underwoodi,-82.6169,8.89498
Anoura geoffroyi,-82.6169,8.89498
Peromyscus levipes,-82.6169,8.89498
Sturnira ludovici,-82.6169,8.89498
Nephelomys devius,-82.6169,8.89498
Reithrodontomys mexicanus,-82.6138,8.89283
Sturnira mordax,-82.6169,8.89498
Oligoryzomys vegetus,-82.61277,8.89183
Mus musculus,-79.56667,8.95
Mus musculus,-79.55,8.98333
Mus musculus,-82.42271,8.43235
Sigmodon hirsutus,-79.39384,9.06676
Oligoryzomys fulvescens,-79.39384,9.06676
Artibeus jamaicensis,-81.14959,8.53221
Rattus rattus,-79.55,8.98333
Mus musculus,-79.39384,9.06676
Rattus rattus,-79.39384,9.06676
Didelphis marsupialis,-79.56667,8.95
Zygodontomys brevicauda,-82.42271,8.43235
Artibeus toltecus,-81.14925,8.53134
Oryzomys couesi,-79.39384,9.06676
Rattus rattus,-82.42271,8.43235
Zygodontomys brevicauda,-82.12138,8.36342
Zygodontomys brevicauda,-79.39384,9.06676
Rattus rattus,-82.1208,8.36529
Didelphis marsupialis,-82.42271,8.43235
Liomys adspersus,-82.1208,8.36529
